y_val,y_pred
8.5,7.595494410891803
9.5,7.723843255266004
8.5,7.419133143610711
10.0,8.409724266464053
5.0,6.065151681937243
9.0,6.5567254083593065
8.0,10.116425649540599
9.0,7.960383858551683
8.5,7.284954220528761
5.0,7.893559308196852
7.0,8.004932149961384
10.0,7.4121443113752195
6.0,6.98313083751828
10.0,7.288628453170996
9.0,5.787754657622006
9.5,8.68746804455347
9.0,8.81902510748452
9.0,8.041935138352033
3.5,6.384851313835462
6.5,7.077968096232022
4.0,5.929680237627519
9.5,7.830604893883411
8.0,7.710962532607809
9.5,8.417844054003073
0.0,5.722030277649581
6.5,5.3611748791609815
8.5,7.223074177941846
10.0,7.406353334355399
6.5,7.38225862731636
10.0,7.070484281337428
9.0,7.211351368157029
6.5,7.092009596609569
7.5,7.702288656289167
5.0,7.087795460492922
6.0,7.100847395484868
9.5,6.893542169611505
10.0,8.993056768881317
10.0,8.282324542699486
9.0,8.949256494477277
9.0,7.795401296104218
8.5,7.62511204760107
4.5,5.382896707785362
5.5,7.52863559379576
8.5,7.805268121228376
8.0,9.056201868346648
8.5,7.303295773064051
10.0,8.605905172413763
7.0,6.598103793721894
10.0,7.082595653394783
10.0,6.932350435106547
9.5,6.990627126293669
9.5,7.925771419182781
4.5,6.454672535542725
9.5,8.23799417510107
6.0,6.628737208032506
9.5,8.398358279734985
5.0,8.15814241095099
10.0,6.948393094121913
9.0,7.093194099944364
5.5,7.9050406841331435
8.0,8.767808922731765
6.0,6.823865463720161
6.5,6.352645871447814
7.5,5.938550508086954
8.0,7.754588300525505
6.5,6.056368739589298
9.5,8.52388330536999
4.5,8.199050034841463
9.5,8.03862288818086
7.5,6.776006172051512
7.0,6.897955837904
2.5,5.976450202041826
5.5,3.8350440384456266
9.0,8.006117731007151
8.0,8.266914074536109
9.5,8.070269893454128
