y_val,y_pred
4.5,5.307561745113623
7.0,4.961199886927551
7.0,5.380949170091405
10.0,6.762224226475387
4.0,5.05577050383642
7.5,6.117576421192258
3.5,8.067272877309982
6.5,5.5409837821449734
7.0,5.841875717759799
4.5,5.272078972065376
5.0,5.872500127528878
8.5,6.088531802168963
4.5,6.552584188274927
6.0,5.883939987748889
4.0,5.742375601632602
8.0,5.945842464866315
7.5,5.814065198898973
7.5,6.184603247315808
6.0,4.432306311880088
5.5,4.513579939790377
2.5,4.951265092677337
4.5,5.798769220906855
5.5,5.627879724932879
8.0,5.6479452191479025
0.0,3.97294736494566
4.5,5.319237738214829
4.0,5.669383739743411
6.5,5.455267322210332
7.5,5.802318244398552
8.0,5.715859069254678
7.0,6.781787403175497
6.0,5.798110262308031
6.5,5.044263235435757
1.5,5.096708808483667
6.0,5.657023866701789
8.0,5.260807777440645
7.5,6.022683456468624
8.0,5.086417745538526
6.5,5.486773989123651
8.0,5.878233001728034
8.5,5.295482217209965
5.0,4.625221831229539
5.0,6.511449907325506
6.0,6.802962548174928
9.5,6.579988067053853
6.5,5.544552831741719
8.0,5.067788803422641
7.5,5.420432925392465
8.5,5.033240329173141
6.0,5.398631572552733
6.0,6.26176030136691
7.0,6.011890071599715
2.0,5.782465580451949
8.0,6.3867125172953765
2.0,5.458199347470885
4.5,5.472323105039294
2.5,4.766730872110091
8.0,6.755421575942179
6.5,6.057327544286793
3.0,5.522502826037771
7.5,6.075016671739146
4.0,6.138766983969604
2.5,4.527280469763923
1.0,4.196573419592785
4.5,4.953468004857215
3.5,4.871641098614062
6.5,5.557127715378391
5.5,5.355071344184724
4.0,5.294942945331708
2.0,5.371192214099563
6.5,5.9114406703667255
3.5,4.9207545126994505
8.0,3.005991647292029
5.5,5.629525356627527
5.0,5.592950196532191
8.5,5.612834996942492
